No,Desa/Kelurahan,Kecamatan,Luas total area,Jarak ke ibu kota kecamatan ,Jarak ke ibu kota kabupaten ,Akomodasi. hotel. homestay,Restourant/Tempat makan,Jenis prasarana trasportasi,Jenis permukaan  jalan darat,Jumlah Menara Telepon Seluler,Media Online,Pantai/Danau,Failitas,Harga Tiket,Rating,Wisman,Wisnus
103,Gili Timur,Kamal,7.43,1,12,0,0,Darat,Aspal/Beton,3,Ada,1,1,7.000,4,0,2.301
104,Gili Anyar,Kamal,2.93,1,17,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
105,Tellang,Kamal,9.72,5,10,0,1,Darat,Aspal/Beton,4,Tidak Ada,0,0,0,0,0,0
106,Pendabah,Kamal,7.42,7,10,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
107,Tolbuk,Klampis,1.33,6,16,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
108,Ra'As,Klampis,0.77,5,13,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
109,Muarah,Klampis,3.34,6,12,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
110,Polongan,Klampis,1.56,4,20,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
111,Karang Asem,Klampis,"45.413,00",3,20,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
112,Bantean,Klampis,"45.328,00",7,19,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
113,Bragang,Klampis,"45.480,00",6,30,0,0,Darat,Aspal/Beton,3,Tidak Ada,0,0,0,0,0,0
114,Lergunong,Klampis,4.36,6,31,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
115,Panyaksagan,Klampis,5.29,4,33,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
116,Larangan Glintong,Klampis,5.90,1,27,0,0,Darat,Aspal/Beton,3,Tidak Ada,0,0,0,0,0,0
117,Manonggal,Klampis,3.46,4,33,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
118,Larangan Sorjan,Klampis,1.60,3,27,0,0,Darat,Aspal/Beton,4,Tidak Ada,0,0,0,0,0,0
119,Tenggun Daya,Klampis,4.57,3,25,0,0,Darat,Aspal/Beton,4,Tidak Ada,0,0,0,0,0,0
120,Bulung,Klampis,7.74,7,17,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
121,Trogan,Klampis,1.57,3,15,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
122,Ko'ol,Klampis,1.65,5,15,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
123,Tobaddung,Klampis,1.50,7,21,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
124,Mrandung,Klampis,2.82,3,13,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
125,Buluk Agung,Klampis,5.89,2,17,0,0,Darat,Aspal/Beton,3,Tidak Ada,0,0,0,0,0,0
126,Bator,Klampis,2.41,1,25,0,5,Darat,Aspal/Beton,2,Ada,1,3,2.000,4,0,1.892
127,Klampis Barat,Klampis,0.13,1,18,0,1,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
128,Klampis Timur,Klampis,0.07,1,24,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
129,Lembung Gunung,Kokop,4.68,8,52,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
130,Ampara'an,Kokop,5.18,10,60,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
131,Kokop,Kokop,8.32,9,59,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
132,Tlokoh,Kokop,13.14,14,64,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
133,Durjan,Kokop,18.89,23,73,0,0,Darat,Aspal/Beton,1,Ada,1,3,7.000,4,0,969
134,Mano'An,Kokop,9.77,17,52,0,0,Darat,Aspal/Beton,3,Tidak Ada,0,0,0,0,0,0
135,Mandung,Kokop,13.62,14,64,0,0,Darat,Aspal/Beton,3,Tidak Ada,0,0,0,0,0,0
136,Bandang Laok,Kokop,12.52,4,54,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
137,Tramok,Kokop,"45.301,00",5,55,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
138,Katol Timur,Kokop,11.52,7,57,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
139,Banda Soleh,Kokop,4.74,2,52,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
140,Dupok,Kokop,10.00,1,50,0,0,Darat,Aspal/Beton,3,Tidak Ada,0,0,0,0,0,0
141,Batokorogan,Kokop,3.36,4,50,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
142,Galis Daya,Konang,3.16,14,36,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
143,Durin Barat,Konang,6.59,12,42,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
144,Kanegarah,Konang,"45.324,00",14,38,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
145,Batokaban,Konang,"45.546,00",20,48,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
146,Durin Timur,Konang,20.21,10,36,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
147,Pakes,Konang,5.68,3,40,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
148,Bandung,Konang,6.22,1,56,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
149,Konang,Konang,7.15,1,47,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
150,Senasen,Konang,4.29,5,60,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
151,Campor,Konang,1.76,4,50,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
152,Sambiyan,Konang,"45.415,00",8,57,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
153,Cangkarman,Konang,5.20,13,59,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
154,Genteng,Konang,13.44,8,59,0,0,Darat,Aspal/Beton,1,Ada,1,2,10.000,4,0,2.301
155,Tebul,Kwanyar,2.24,5,19,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
156,Kwanyar Barat,Kwanyar,2.47,1,22,0,0,Darat,Aspal/Beton,0,Ada,1,4,20.000,3,0,1.538
157,Pasanggrahan,Kwanyar,3.33,1,23,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
158,Karanganyar,Kwanyar,1.80,4,18,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
159,Batah Barat,Kwanyar,1.18,6,22,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
160,Batah Timur,Kwanyar,3.50,6,2,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
161,Duwek Buter,Kwanyar,3.94,6,27,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
162,Pandanan,Kwanyar,2.99,6,25,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
163,Karang Entang,Kwanyar,2.25,4,17,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
164,Janteh,Kwanyar,4.20,2,21,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
165,Dlemer,Kwanyar,2.78,1,25,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
166,Ketetang,Kwanyar,3.36,1,23,0,0,Darat,Aspal/Beton,2,Ada,2,3,2.000,4,0,1.558
167,Morombuh,Kwanyar,2.95,3,25,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
168,Sumur Kuning,Kwanyar,4.44,3,25,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
169,Paoran,Kwanyar,3.35,5,25,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
170,Gunung Sereng,Kwanyar,3.16,8,25,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
171,Kesek,Labang,1.72,2,22,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
172,Pangpong,Labang,2.18,4,21,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
173,Sukolilo Barat,Labang,1.76,1,20,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
174,Sukolilo Timur,Labang,2.15,1,21,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
175,Bunajih,Labang,4.68,1,22,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
176,Bringin,Labang,2.67,3,23,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
177,Ba'Engas,Labang,3.57,2,20,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
178,Morkepek,Labang,2.21,3,18,0,1,Darat,Aspal/Beton,1,Ada,1,4,30.000,4,0,969
179,Labang,Labang,1.82,3,20,0,10,Darat dan Air,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
180,Jukong,Labang,3.88,5,18,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
181,Sendang Laok,Labang,2.80,6,19,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
182,Sendang Daya,Labang,"45.355,00",7,18,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
183,Petapan,Labang,1.76,8,18,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
184,Pangpajung,Modung,4.26,3,35,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
185,Patereman,Modung,2.29,1,40,0,1,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
186,Kolla,Modung,5.17,4,44,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
187,Paeng,Modung,2.33,5,43,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
188,Neroh,Modung,"45.629,00",5,35,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
189,Serabi Timur,Modung,5.45,3,42,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
190,Serabi Barat,Modung,7.13,5,30,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
191,Patengteng,Modung,"45.395,00",5,40,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
192,Langpanggang,Modung,2.96,8,115,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
193,Suwaan,Modung,4.44,10,35,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
194,Modung,Modung,3.76,10,25,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
195,Brakas Dajah,Modung,3.27,13,26,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
196,Karanganyar,Modung,"45.631,00",11,25,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
197,Manggaan,Modung,8.37,15,30,0,0,Darat,Aspal/Beton,0,Ada,1,2,0,1,0,969
198,Glisgis,Modung,3.52,15,30,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
199,Pakong,Modung,1.43,22,30,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
200,Alaskokon,Modung,3.25,22,1,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
201,Junganyar,Socah,0.85,2,9,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
202,Socah,Socah,1.15,1,5,0,1,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
203,Buluh,Socah,5.47,2,8,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
204,Jaddih,Socah,8.25,3,7,0,0,Darat,Aspal/Beton,3,Ada,2,4,25.000,4,0,4.767
205,Sanggra Agung,Socah,6.52,7,12,0,0,Darat,Aspal/Beton,3,Tidak Ada,o,o,o,o,o,o
206,Parseh,Socah,6.36,9,12,0,0,Darat,Aspal/Beton,3,Ada,1,3,20.000,4,0,1.003
207,Bilaporah,Socah,10.50,4,3,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
208,Keleyan,Socah,6.35,2,5,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
209,Petaonan,Socah,4.46,2,6,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
210,Dakiring,Socah,3.31,4,11,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
211,Pernajuh,Socah,0.59,5,10,0,0,Darat,Aspal/Beton,1,Ada,1,2,3.000,4,0,1.606
212,Pacentan,Tanah Merah,"45.327,00",6,15,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
213,Baipajung,Tanah Merah,"45.295,00",3,19,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
