No,Desa/Kelurahan,Kecamatan,Luas total area,Jarak ke ibu kota kecamatan ,Jarak ke ibu kota kabupaten ,Akomodasi. hotel. homestay,Restourant/Tempat makan,Jenis prasarana trasportasi,Jenis permukaan  jalan darat,Jumlah Menara Telepon Seluler,Media Online,Pantai/Danau,Failitas,Harga Tiket,Rating,Wisman,Wisnus
164,140,16,4,2,21,0,0,1,1,0,0,0,0,0,0,0,0
165,107,16,2,1,25,0,0,1,1,1,0,0,0,0,0,0,0
166,195,16,3,1,23,0,0,1,1,2,1,2,3,2000,3,0,1558
167,256,16,2,3,25,0,0,1,1,1,0,0,0,0,0,0,0
168,381,16,4,3,25,0,0,1,1,1,0,0,0,0,0,0,0
169,308,16,3,5,25,0,0,1,1,0,0,0,0,0,0,0,0
170,134,16,3,8,25,0,0,1,1,1,0,0,0,0,0,0,0
171,189,17,1,2,22,0,0,1,1,1,0,0,0,0,0,0,0
172,302,17,2,4,21,0,0,1,1,0,0,0,0,0,0,0,0
173,379,17,1,1,20,0,0,1,1,0,0,0,0,0,0,0,0
174,380,17,2,1,21,0,0,1,1,2,0,0,0,0,0,0,0
175,88,17,4,1,22,0,0,1,1,0,0,0,0,0,0,0,0
176,78,17,2,3,23,0,0,1,1,1,0,0,0,0,0,0,0
177,16,17,3,2,20,0,0,1,1,1,0,0,0,0,0,0,0
178,255,17,2,3,18,0,1,1,1,1,1,1,4,30000,4,0,969
179,214,17,1,3,20,0,10,3,1,1,0,0,0,0,0,0,0
180,146,17,3,5,18,0,0,1,1,0,0,0,0,0,0,0,0
181,364,17,2,6,19,0,0,1,1,1,0,0,0,0,0,0,0
182,363,17,45355,7,18,0,0,1,1,0,0,0,0,0,0,0,0
183,327,17,1,8,18,0,0,1,1,2,0,0,0,0,0,0,0
184,301,18,4,3,35,0,0,1,1,0,0,0,0,0,0,0,0
185,318,18,2,1,40,0,1,1,1,2,0,0,0,0,0,0,0
186,203,18,5,4,44,0,0,1,1,0,0,0,0,0,0,0,0
187,277,18,2,5,43,0,0,1,1,2,0,0,0,0,0,0,0
188,265,18,45629,5,35,0,0,1,1,1,0,0,0,0,0,0,0
189,367,18,5,3,42,0,0,1,1,0,0,0,0,0,0,0,0
190,366,18,7,5,30,0,0,1,1,1,0,0,0,0,0,0,0
191,317,18,45395,5,40,0,0,1,1,1,0,0,0,0,0,0,0
192,219,18,2,8,115,0,0,1,1,1,0,0,0,0,0,0,0
193,382,18,4,10,35,0,0,1,1,1,0,0,0,0,0,0,0
194,252,18,3,10,25,0,0,1,1,2,0,0,0,0,0,0,0
195,77,18,3,13,26,0,0,1,1,0,0,0,0,0,0,0,0
196,175,18,45631,11,25,0,0,1,1,2,0,0,0,0,0,0,0
197,241,18,8,15,30,0,0,1,1,0,1,1,2,0,1,0,969
198,127,18,3,15,30,0,0,1,1,0,0,0,0,0,0,0,0
199,283,18,1,22,30,0,0,1,1,2,0,0,0,0,0,0,0
200,4,18,3,22,1,0,0,1,1,1,0,0,0,0,0,0,0
201,147,23,0,2,9,0,0,1,1,1,0,0,0,0,0,0,0
202,369,23,1,1,5,0,1,1,1,2,0,0,0,0,0,0,0
203,84,23,5,2,8,0,0,1,1,0,0,0,0,0,0,0,0
204,136,23,8,3,7,0,0,1,1,3,1,2,4,25000,4,0,4767
205,358,23,6,7,12,0,0,1,1,3,0,0,0,0,0,0,0
206,309,23,6,9,12,0,0,1,1,3,1,1,3,20000,4,0,1003
207,67,23,10,4,3,0,0,1,1,2,0,0,0,0,0,0,0
208,184,23,6,2,5,0,0,1,1,2,0,0,0,0,0,0,0
209,326,23,4,2,6,0,0,1,1,1,0,0,0,0,0,0,0
210,98,23,3,4,11,0,0,1,1,0,0,0,0,0,0,0,0
211,324,23,0,5,10,0,0,1,1,1,1,1,2,3000,3,0,1606
212,275,27,45327,6,15,0,0,1,1,0,0,0,0,0,0,0,0
213,17,27,45295,3,19,0,0,1,1,0,0,0,0,0,0,0,0
214,401,27,4,2,19,0,0,1,1,0,1,1,1,20000,1,0,626016
215,211,27,45325,3,20,0,0,1,1,0,0,0,0,0,0,0,0
216,294,27,0,2,17,0,0,1,1,0,0,0,0,0,0,0,0
217,276,27,1,2,17,0,0,1,1,2,0,0,0,0,0,0,0
218,328,27,4,1,16,0,0,1,1,1,0,0,0,0,0,0,0
219,400,27,3,1,15,0,0,1,1,3,0,0,0,0,0,0,0
220,110,27,3,3,14,0,0,1,1,0,0,0,0,0,0,0,0
221,316,27,0,4,10,0,0,1,1,1,1,1,3,12000,4,0,978
222,420,27,2,4,15,0,0,1,1,0,0,0,0,0,0,0,0
223,187,27,2,3,16,0,0,1,1,0,0,0,0,0,0,0,0
224,139,27,4,3,22,0,0,1,1,0,0,0,0,0,0,0,0
225,329,27,4,8,21,0,0,1,1,0,0,0,0,0,0,0,0
226,217,27,2,10,29,0,0,1,1,0,0,0,0,0,0,0,0
227,352,27,1,6,23,0,0,1,1,0,0,0,0,0,0,0,0
228,51,27,5,11,15,0,0,1,1,0,0,0,0,0,0,0,0
229,106,27,3,9,16,0,0,1,1,0,0,0,0,0,0,0,0
230,105,27,1,9,15,0,0,1,1,0,0,0,0,0,0,0,0
231,258,27,2,5,12,0,0,1,1,0,0,0,0,0,0,0,0
232,80,27,2,8,10,0,0,1,1,1,0,0,0,0,0,0,0
233,340,27,1,6,12,0,0,1,1,2,0,0,0,0,0,0,0
234,48,27,0,5,12,0,0,1,1,0,0,0,0,0,0,0,0
235,334,28,7,5,45,0,0,1,1,0,0,0,0,0,0,0,0
236,384,28,10,10,46,0,0,1,1,0,0,0,0,0,0,0,0
237,25,28,6,13,43,0,0,1,1,0,0,0,0,0,0,0,0
238,90,28,45630,10,48,0,0,1,1,0,0,0,0,0,0,0,0
239,225,28,45300,11,42,0,0,1,1,0,0,0,0,0,0,0,0
240,391,28,5,10,50,0,0,1,1,0,0,0,0,0,0,0,0
241,87,28,5,15,48,0,0,1,1,6,0,0,0,0,0,0,0
242,312,28,2,2,36,0,0,1,1,2,0,0,0,0,0,0,0
243,409,28,0,3,37,0,0,1,1,3,0,0,0,0,0,0,0
244,403,28,3,1,38,0,0,1,1,1,0,1,2,0,1,0,2322
245,234,28,4,4,44,0,0,1,1,3,1,1,1,10000,3,0,11499
246,418,28,4,8,48,0,0,1,1,0,0,0,0,0,0,0,0
247,39,28,7,10,48,0,0,1,1,0,0,0,0,0,0,0,0
248,1,28,10,10,43,0,0,1,1,0,0,0,0,0,0,0,0
249,2,30,2,2,13,0,0,1,1,2,0,0,0,0,0,0,0
250,186,30,45323,3,11,0,0,1,1,0,0,0,0,0,0,0,0
251,372,30,7,1,14,0,0,1,1,2,0,0,0,0,0,0,0
252,18,30,4,3,17,0,0,1,1,1,0,0,0,0,0,0,0
253,398,30,2,2,13,0,0,1,1,0,0,0,0,0,0,0,0
254,371,30,45384,1,14,0,0,1,1,1,0,0,0,0,0,0,0
255,194,30,1,1,13,0,0,1,1,0,0,0,0,0,0,0,0
256,135,30,1,3,12,0,0,1,1,0,0,0,0,0,0,0,0
257,21,30,0,3,12,0,0,1,1,0,0,0,0,0,0,0,0
258,247,30,4,2,12,0,0,1,1,0,0,0,0,0,0,0,0
259,273,30,45292,4,12,0,0,1,1,1,0,0,0,0,0,0,0
260,336,30,1,2,10,0,0,1,1,0,1,1,3,8000,3,0,626016
261,430,30,4,2,10,0,0,1,1,0,0,0,0,0,0,0,0
262,169,30,4,1,12,0,0,1,1,0,0,0,0,0,0,0,0
263,108,30,2,1,13,0,0,1,1,0,0,0,0,0,0,0,0
264,137,30,1,2,10,0,0,1,1,0,0,0,0,0,0,0,0
265,38,30,5,2,15,0,0,1,1,1,0,0,0,0,0,0,0
266,286,30,3,3,9,0,0,1,1,0,0,0,0,0,0,0,0
267,65,21,5,8,19,0,0,1,1,0,0,0,0,0,0,0,0
268,227,21,10,5,31,0,0,1,1,0,0,0,0,0,0,0,0
269,349,21,45605,4,30,0,0,1,1,0,0,0,0,0,0,0,0
270,359,21,5,6,20,0,0,1,1,0,0,0,0,0,0,0,0
271,429,21,7,2,24,0,0,1,1,1,0,0,0,0,0,0,0
272,431,21,0,2,27,0,0,1,1,2,0,0,0,0,0,0,0
273,142,21,8,1,27,0,0,1,1,2,0,0,0,0,0,0,0
274,132,21,45486,7,33,0,0,1,1,3,0,0,0,0,0,0,0
275,291,21,13,3,29,0,0,1,1,0,0,0,0,0,0,0,0
276,272,22,1,18,17,38,2,1,1,0,1,2,4,25000,1,3,9539
277,0,22,5,8,6,1,0,1,1,0,0,0,0,0,0,0,0
278,337,22,6,2,2,1,3,1,1,0,1,3,3,2000,4,0,9539
279,41,22,2,5,4,1,2,1,1,1,1,2,4,40000,5,0,1999
280,128,22,9,5,5,0,1,1,1,0,1,1,3,0,1,0,1512
281,350,22,1,2,1,1,8,1,1,0,1,8,3,20000,5,0,2532
282,165,22,2,1,1,1,2,1,1,0,1,2,4,25000,4,0,1999
283,133,22,4,1,1,1,6,1,1,1,1,6,1,25000,5,0,8496
284,100,22,45597,1,1,1,2,1,1,0,1,2,5,35000,4,0,9539
285,313,22,2,3,3,0,0,1,1,1,0,0,0,0,0,0,0
286,298,22,4,6,6,0,0,1,1,2,0,0,0,0,0,0,0
287,46,22,3,8,7,0,0,1,1,2,0,0,0,0,0,0,0
288,388,22,5,7,7,0,0,1,1,1,0,0,0,0,0,0,0
289,281,22,4,9,9,0,0,1,1,4,0,0,0,0,0,0,0
290,402,22,3,1,1,1,0,1,1,3,0,0,0,0,0,0,0
291,156,22,2,6,6,6,0,1,1,1,0,0,0,0,0,0,0
292,45,22,4,8,8,0,0,1,1,1,0,0,0,0,0,0,0
293,293,22,5,9,9,0,0,1,1,2,0,0,0,0,0,0,0
294,422,24,9,18,47,0,0,1,1,5,0,0,0,0,0,0,0
295,423,24,8,11,51,0,0,1,1,4,0,0,0,0,0,0,0
296,424,24,45549,9,44,0,0,1,1,2,0,0,0,0,0,0,0
297,70,24,11,6,61,0,2,1,1,1,1,2,4,15000,4,0,1512
298,71,24,10,8,62,0,1,1,1,0,1,1,3,2000,4,2,11180
299,374,24,10,8,55,0,0,1,1,0,0,0,0,0,0,0,0
300,396,24,45329,15,62,0,0,1,1,0,0,0,0,0,0,0,0
301,395,24,11,11,66,0,1,1,1,1,1,1,4,0,5,0,9539
302,375,24,12,6,67,0,0,1,1,0,0,0,0,0,0,0,0
303,373,24,7,2,59,0,0,1,1,0,0,0,0,0,0,0,0
304,394,24,45509,3,62,0,1,1,1,0,1,1,3,0,1,0,3447
305,397,24,0,5,67,0,0,1,1,2,0,0,0,0,0,0,0
306,266,25,8,2,35,0,0,1,1,0,0,0,0,0,0,0,0
307,215,25,45515,1,37,0,0,1,1,0,0,0,0,0,0,0,0
308,387,25,6,5,45,0,0,1,1,0,0,0,0,0,0,0,0
309,378,25,6,6,49,0,0,1,1,1,0,0,0,0,0,0,0
